地    区,合计,男,女,0岁小计,0岁男,0岁女,1-4岁小计,1-4岁男,1-4岁女,5-9岁小计,5-9岁男,5-9岁女,10-14岁小计,10-14岁男,10-14岁女,15-19岁小计,15-19岁男,15-19岁女,20-24岁小计,20-24岁男,20-24岁女,25-29岁小计,25-29岁男,25-29岁女,30-34岁小计,30-34岁男,30-34岁女,35-39岁小计,35-39岁男,35-39岁女,40-44岁小计,40-44岁男,40-44岁女,45-49岁小计,45-49岁男,45-49岁女,50-54岁小计,50-54岁男,50-54岁女,55-59岁小计,55-59岁男,55-59岁女,60-64岁小计,60-64岁男,60-64岁女,65-69岁小计,65-69岁男,65-69岁女,70-74岁小计,70-74岁男,70-74岁女,75-79岁小计,75-79岁男,75-79岁女,80-84岁小计,80-84岁男,80-84岁女,85-89岁小计,85-89岁男,85-89岁女,90-94岁小计,90-94岁男,90-94岁女,95-99岁小计,95-99岁男,95-99岁女,100岁及以上小计,100岁及以上男,100岁及以上女
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
全    国,1409778724,721416394,688362330,11988057,6312409,5675648,65895831,34656922,31238909,90244056,48017458,42226598,85255994,45606790,39649204,72684140,39053343,33630797,74941675,39675995,35265680,91847332,48162270,43685062,124145190,63871808,60273382,99012932,50932037,48080895,92955330,47632694,45322636,114224887,58191686,56033201,121164296,61105470,60058826,101400786,50816026,50584760,73382938,36871125,36511813,74005560,36337923,37667637,49590036,24162733,25427303,31238849,14752433,16486416,20382878,9157003,11225875,10826530,4426091,6400439,3652749,1367594,2285155,819812,271455,548357,118866,35129,83737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北    京,21893095,11195390,10697705,152730,79388,73342,863520,447165,416355,932953,485161,447792,642304,335714,306590,633557,345715,287842,1350502,715999,634503,1904688,995896,908792,2503029,1309189,1193840,2143185,1108136,1035049,1602133,838444,763689,1618574,842337,776237,1619791,842484,777307,1627539,828013,799526,1386530,677025,709505,1194671,568385,626286,668541,314838,353703,415173,184665,230508,348786,152087,196699,201947,89400,112547,66260,28609,37651,13889,5637,8252,2793,1103,1690
天    津,13866009,7144949,6721060,83049,43247,39802,525966,272661,253305,664986,350320,314666,594055,316570,277485,619767,338953,280814,830196,451443,378753,938851,501735,437116,1385308,727170,658138,1191700,622573,569127,940846,488901,451945,998788,518140,480648,1027939,531414,496525,1061870,537786,524084,956996,474335,482661,860732,417479,443253,520568,251367,269201,301655,140779,160876,197896,88866,109030,112326,49471,62855,40898,17171,23727,9685,3838,5847,1932,730,1202
河    北,74610235,37679003,36931232,607434,316473,290961,3585183,1869601,1715582,5589288,2975262,2614026,5307063,2826356,2480707,4022501,2129632,1892869,2940931,1524951,1415980,4140048,2110703,2029345,6887105,3455469,3431636,5672294,2864982,2807312,4595890,2337512,2258378,5060556,2522393,2538163,6048158,3010800,3037358,5341736,2621243,2720493,4424111,2209545,2214566,4334423,2118493,2215930,2865625,1369966,1495659,1547251,721592,825659,955936,428901,527035,490515,195880,294635,156784,56769,100015,32938,10887,22051,4465,1593,2872
山    西,34915616,17805148,17110468,287747,147446,140301,1497313,767699,729614,1949428,1009444,939984,1975407,1023296,952111,1731138,896160,834978,1956458,991053,965405,2560006,1311592,1248414,2990263,1538222,1452041,2526668,1307943,1218725,2248057,1162056,1086001,3004673,1533529,1471144,2961796,1519980,1441816,2619637,1333902,1285735,2102351,1076063,1026288,1823687,914113,909574,1179828,581441,598387,705970,339271,366699,469201,215588,253613,241940,103375,138565,68972,27593,41379,13550,4908,8642,1526,474,1052
内 蒙 古,24049155,12275274,11773881,172951,89403,83548,882705,456610,426095,1184065,616732,567333,1137952,592970,544982,1005267,523910,481357,1063742,552501,511241,1450355,757769,692586,2042455,1054898,987557,1923895,1003174,920721,1780481,924262,856219,2320088,1187721,1132367,2297399,1181252,1116147,2030567,1030880,999687,1618315,811291,807024,1324263,645995,678268,786180,376914,409266,481258,220192,261066,339491,154556,184935,153019,68893,84126,42650,19951,22699,9916,4519,5397,2141,881,1260
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辽    宁,42591407,21263529,21327878,220080,113136,106944,1216563,627520,589043,1660365,862850,797515,1640931,858999,781932,1685551,887252,798299,1848330,963247,885083,2237992,1149681,1088311,3432844,1736758,1696086,2965212,1499850,1465362,3122536,1581981,1540555,3579319,1797709,1781610,3984324,1986758,1997566,4042893,2001325,2041568,3536986,1731601,1805385,3123673,1505700,1617973,1852831,873679,979152,1128789,519826,608963,746549,327298,419251,388314,164040,224274,140222,59142,81080,31316,12776,18540,5787,2401,3386
